date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2018-11-01,0.01646387431813312,0.01546387431813312,0.25,2,True,0.001,1.4469976476690478,-0.08541781180463381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0
2018-12-01,-0.09998310782141864,-0.10098310782141864,0.25,2,True,0.001,1.452338733708418,-0.08204195133582393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0
2019-01-01,-0.007424841895073753,-0.011424841895073753,1.0,5,True,0.004,1.311246032154113,-0.17122030759217477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-02-01,-0.016899786909583048,-0.016899786909583048,0.0,0,False,0.0,1.2963041967291065,-0.1806643703110542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-03-01,0.02326884020270753,0.01926884020270753,1.0,5,True,0.004,1.2692993443062492,-0.19773292398878528,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2019-04-01,0.01482859060435504,0.01282859060435504,0.5,4,True,0.002,1.296236798982476,-0.1807069693979927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2019-05-01,-0.050626145251217475,-0.051626145251217476,0.25,2,True,0.001,1.314142705637086,-0.16938945045373188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0
2019-06-01,0.0419296890200625,0.0389296890200625,0.75,6,True,0.003,1.2512898344258367,-0.2091159258763744,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2019-07-01,0.006369542167364628,0.004369542167364628,0.5,4,True,0.002,1.2972450704531593,-0.18006968631087916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2019-08-01,0.03617966823025448,0.03417966823025448,0.5,4,True,0.002,1.302896911775555,-0.17649741139232877,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2019-09-01,-0.01616944387790556,-0.01616944387790556,0.0,0,False,0.0,1.34387952782656,-0.1505941414552434,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2019-10-01,0.022491007401865215,0.021491007401865214,0.25,2,True,0.001,1.3208275934794795,-0.16516423325273255,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2019-11-01,-0.01020999348518209,-0.01120999348518209,0.25,2,True,0.001,1.3491838023243536,-0.14724154790763422,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
2019-12-01,0.05019636198316302,0.047196361983163015,0.75,6,True,0.003,1.3455697676495355,-0.14952581681880606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0
2020-01-01,-0.030949605318369627,-0.03294960531836963,0.5,4,True,0.002,1.3950984039557446,-0.11822099151778687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25
2020-02-01,-0.025945413423755614,-0.027945413423755616,0.5,4,True,0.002,1.3345406117910934,-0.15649685061088636,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2020-03-01,-0.10672586651945098,-0.10772586651945099,0.25,2,True,0.001,1.2516573288245076,-0.2088836491813656,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.006765234252473551,0.002765234252473551,1.0,5,True,0.004,1.1124872225336524,-0.29684681936889845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
