date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_ief.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vwo.us
2013-03-01,0.017406611567391116,0.015006611567391116,0.6,2,True,0.0024,1.6665599085270182,-0.07816045283752393,0.0,0.0,0.0,0.6,0.4,0.0,0.0
2013-04-01,0.014340836522386713,0.014340836522386713,0.0,0,False,0.0,1.6955690695085346,-0.062114349912607114,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-05-01,-0.038135182560419256,-0.040535182560419256,0.6,2,True,0.0024,1.7157572244707393,-0.05094749084370431,0.0,0.0,0.0,0.0,0.4,0.6,0.0
2013-06-01,-0.012828808764220656,-0.016828808764220656,1.0,2,True,0.004,1.6399320643779849,-0.09288935617106997,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-07-01,0.057561414340048245,0.057561414340048245,0.0,0,False,0.0,1.6124181147796148,-0.10810839912814563,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-08-01,-0.03662676305035639,-0.03662676305035639,0.0,0,False,0.0,1.7052311819738444,-0.05676985714395144,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-09-01,0.06470542706566951,0.060705427065669504,1.0,2,True,0.004,1.6352403957356125,-0.09548450182085555,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-10-01,0.02118070011961648,0.02118070011961648,0.0,0,False,0.0,1.734085126601133,-0.04080961046276255,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-11-01,0.024391090862369458,0.020391090862369458,1.0,2,True,0.004,1.76373100659496,-0.024411313318498995,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-12-01,0.018881483942263966,0.018881483942263966,0.0,0,False,0.0,1.8116867726767543,-0.0005743747761629558,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-01-01,-0.04801575683372805,-0.04801575683372805,0.0,0,False,0.0,1.8410710796524796,-0.00755906451426458,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-02-01,0.0,-0.004,1.0,2,True,0.004,1.7929874247881172,-0.03527760017401527,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.02216753630435786,0.01816753630435786,1.0,2,True,0.004,1.785815475088964,-0.039136489773319516,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-04-01,0.0,-0.004,1.0,2,True,0.004,1.8108285900718268,-0.02567810630683076,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-05-01,0.015987539938068895,0.011987539938068895,1.0,2,True,0.004,1.8035852757115385,-0.029575393881604017,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014-06-01,0.035837687765963855,0.03183768776596385,1.0,2,True,0.004,1.829339042030051,-0.015718500685440673,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-07-01,0.01057186998911508,0.01057186998911508,0.0,0,False,0.0,1.8873187301426648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-08-01,0.02913437919532753,0.02913437919532753,0.0,0,False,0.0,1.907271218385755,-0.025743663521346938,0.0,0.0,0.0,0.0,0.4,0.0,0.6
2014-09-01,-0.09125442289604524,-0.09125442289604524,0.0,0,False,0.0,1.973966381155765,-0.003656890531818946,0.0,0.0,0.0,0.0,0.0,0.0,1.0
