date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cbu0.uk,w_cmod.uk,w_cndx.uk,w_cspx.uk,w_dtla.uk,w_eimi.uk,w_ibta.uk,w_igln.uk,w_ihya.uk,w_iues.uk,w_lqda.uk,w_xres.uk
2023-12-01,0.015738563651211703,0.014138563651211702,0.4,4,True,0.0016,1.2064160728374185,-0.057071690822441234,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.6,0.13333333333333333,0.0,0.0,0.0,0.0
2024-01-01,-0.0015358887305486398,-0.002869222063881973,0.33333333333333326,5,True,0.001333333333333333,1.2304339179804076,-0.0382994723311022,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.4,0.19999999999999998,0.0,0.0,0.0,0.19999999999999998
2024-02-01,0.02138721358399822,0.02058721358399822,0.19999999999999998,2,True,0.0007999999999999999,1.2259245247412425,-0.04182398981570612,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.4,0.19999999999999998,0.0,0.0,0.0,0.0
2024-03-01,0.037061613368086485,0.03626161336808648,0.19999999999999998,2,True,0.0007999999999999999,1.251141919482233,-0.022114209814963592,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.4,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0
2024-04-01,-0.011549156691281714,-0.011549156691281714,0.0,0,False,0.0,1.2915500111351945,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.4,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0
2024-05-01,0.018171681079433673,0.018171681079433673,0.0,0,False,0.0,1.2766336976819672,-0.027345334683368527,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.4,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0
2024-06-01,-0.000366816621129429,-0.001966816621129429,0.4,5,True,0.0016,1.2946178807436732,-0.01870986645832362,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0
2024-07-01,0.004084045575196986,0.004084045575196986,0.0,0,False,0.0,1.2920723645975856,-0.020639308277474178,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0
2024-08-01,0.013735904965888798,0.01266923829922213,0.26666666666666666,2,True,0.0010666666666666665,1.295965407824232,-0.017943229044404374,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0
2024-09-01,0.02006837548492754,0.02006837548492754,0.0,0,False,0.0,1.3082553940949624,-0.008630122259875916,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0
2024-10-01,0.003613599186695615,0.0025469325200289487,0.26666666666666666,2,True,0.0010666666666666665,1.3330864772889632,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,0.0
2024-11-01,0.013208889217667578,0.012142222551000911,0.26666666666666666,2,True,0.0010666666666666665,1.336476620200424,-0.01239928307955862,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666
2024-12-01,-0.02157970961700839,-0.023446376283675057,0.4666666666666667,5,True,0.0018666666666666669,1.3605275023236154,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
2025-01-01,0.0037359900373599153,-0.0002640099626400839,0.9999999999999999,4,True,0.003999999999999999,1.3005403888600997,-0.04732237166425457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
