date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_qqq.us,w_vt.us
2014-12-01,-0.010651948232596898,-0.010651948232596898,0.0,0,False,0.0,1.5991299514228634,-0.010335241951948348,0.0,0.0,0.0,0.2,0.8,0.0
2015-01-01,-0.010853849896020363,-0.010853849896020363,0.0,0,False,0.0,1.5315498066475821,-0.052159039679188335,0.0,0.0,0.0,0.2,0.8,0.0
2015-02-01,0.06828722272996966,0.06828722272996966,0.0,0,False,0.0,1.5009865865805647,-0.07107391383677686,0.0,0.0,0.0,0.2,0.8,0.0
2015-03-01,-0.034953437758472886,-0.034953437758472886,0.0,0,False,0.0,1.5895588233773883,-0.0162585930297916,0.0,0.0,0.0,0.2,0.8,0.0
2015-04-01,0.035204768062935266,0.035204768062935266,0.0,0,False,0.0,1.5339982779810353,-0.050643737068757355,0.0,0.0,0.0,0.2,0.8,0.0
2015-05-01,0.01093778289809948,0.01093778289809948,0.0,0,False,0.0,1.5880023315663,-0.017221870023167662,0.0,0.0,0.0,0.2,0.8,0.0
2015-06-01,-0.019352351527969883,-0.019352351527969883,0.0,0,False,0.0,1.6053715563106485,-0.006472456200480647,0.0,0.0,0.0,0.2,0.8,0.0
2015-07-01,0.02962003813745713,0.02962003813745713,0.0,0,False,0.0,1.574303841619921,-0.025699550480809186,0.0,0.0,0.0,0.2,0.8,0.0
2015-08-01,-0.09317740433649715,-0.09317740433649715,0.0,0,False,0.0,1.625941728112965,-0.016178417940817647,0.0,0.0,0.0,0.2,0.8,0.0
2015-09-01,0.013074933268119926,0.013074933268119926,0.0,0,False,0.0,1.4744406982850005,-0.10784835928731829,0.0,0.0,0.0,0.2,0.8,0.0
2015-10-01,0.11577475620456089,0.11577475620456089,0.0,0,False,0.0,1.493718912022877,-0.09618353611995623,0.0,0.0,0.0,0.2,0.8,0.0
2015-11-01,0.004172505646324077,0.004172505646324077,0.0,0,False,0.0,1.647857312867896,-0.005690489426946943,0.0,0.0,0.0,0.2,0.8,0.0
2015-12-01,-0.04487194490177815,-0.04487194490177815,0.0,0,False,0.0,1.6547330068101738,-0.0015417273798871145,0.0,0.0,0.0,0.2,0.8,0.0
2016-01-01,-0.04475284307771825,-0.04475284307771825,0.0,0,False,0.0,1.5965778364184018,-0.036632289261667506,0.0,0.0,0.0,0.2,0.8,0.0
2016-02-01,0.01537175833382438,0.01537175833382438,0.0,0,False,0.0,1.5251264390438066,-0.07974573324648049,0.0,0.0,0.0,0.2,0.8,0.0
2016-03-01,0.0,-0.004,1.0,3,True,0.004,1.5423760328369416,-0.06933740782406517,1.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,-0.02546247479898094,-0.02946247479898094,1.0,3,True,0.004,1.5362065287055935,-0.07306005819276906,0.0,0.0,0.0,0.2,0.8,0.0
2016-05-01,0.02954376666594594,0.02954376666594594,0.0,0,False,0.0,1.4837658338241018,-0.10470253187938916,0.0,0.0,0.0,0.2,0.8,0.0
2016-06-01,-0.013625591549670536,-0.013625591549670536,0.0,0,False,0.0,1.5276018654055032,-0.07825207238462195,0.0,0.0,0.0,0.2,0.8,0.0
2016-07-01,0.06416091260536612,0.06416091260536612,0.0,0,False,0.0,1.5067873863369727,-0.0908114331580645,0.0,0.0,0.0,0.2,0.8,0.0
2016-08-01,0.006428239033853656,0.006428239033853656,0.0,0,False,0.0,1.6034642401466077,-0.03247706497912084,0.0,0.0,0.0,0.2,0.8,0.0
2016-09-01,0.013732386547472396,0.013732386547472396,0.0,0,False,0.0,1.6137716915645068,-0.026257596282070805,0.0,0.0,0.0,0.2,0.8,0.0
2016-10-01,-0.020558084346566273,-0.020558084346566273,0.0,0,False,0.0,1.6388551028758274,-0.011122381461161623,0.0,0.0,0.0,0.2,0.8,0.0
2016-11-01,0.0037423039070468185,0.0037423039070468185,0.0,0,False,0.0,1.605163381439106,-0.03145181095151439,0.0,0.0,0.0,0.2,0.8,0.0
2016-12-01,0.03703851364881179,0.03703851364881179,0.0,0,False,0.0,1.6111703906329145,-0.027827209279474907,0.0,0.0,0.0,0.2,0.8,0.0
2017-01-01,0.0415587633997562,0.0415587633997562,0.0,0,False,0.0,1.6449407481652831,-0.02456835112689404,0.0,0.0,0.0,0.2,0.8,0.0
2017-02-01,0.04883366280621613,0.04883366280621613,0.0,0,False,0.0,1.7133024515249016,-0.0035492492263801134,0.0,0.0,0.0,0.2,0.8,0.0
2017-03-01,0.004127159821322191,0.004127159821322191,0.0,0,False,0.0,1.796969285727733,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2017-04-01,0.032456456993815413,0.032456456993815413,0.0,0,False,0.0,1.8059016354272335,-0.0009640634655294633,0.0,0.0,0.0,0.2,0.8,0.0
2017-05-01,0.031015322025389792,0.031015322025389792,0.0,0,False,0.0,1.8645148041925388,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2017-06-01,-0.029479038005197956,-0.029479038005197956,0.0,0,False,0.0,1.9223433312656764,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2017-07-01,0.047322804056580695,0.047322804056580695,0.0,0,False,0.0,1.880354264363631,-0.031714441373912106,0.0,0.0,0.0,0.2,0.8,0.0
2017-08-01,0.013835243864832725,0.013835243864832725,0.0,0,False,0.0,1.969337900773067,-0.007260013573331281,0.0,0.0,0.0,0.2,0.8,0.0
2017-09-01,0.004035445468019683,0.004035445468019683,0.0,0,False,0.0,1.9965841708825203,-0.0008110866094923619,0.0,0.0,0.0,0.2,0.8,0.0
2017-10-01,0.040047989982185596,0.040047989982185596,0.0,0,False,0.0,2.0015824272617952,-0.001647400140860622,0.0,0.0,0.0,0.2,0.8,0.0
2017-11-01,0.0181439312390709,0.0181439312390709,0.0,0,False,0.0,2.0817417802572935,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2017-12-01,0.02671835369678153,0.02671835369678153,0.0,0,False,0.0,2.119512759975783,-0.009400585044943233,0.0,0.0,0.0,0.2,0.8,0.0
2018-01-01,0.05734375727373356,0.05734375727373356,0.0,0,False,0.0,2.0481456333543036,-0.05888291690803471,0.0,0.0,0.0,0.2,0.8,0.0
2018-02-01,-0.02644181346893615,-0.02644181346893615,0.0,0,False,0.0,2.165593999414629,-0.017341105548916325,0.0,0.0,0.0,0.2,0.8,0.0
2018-03-01,-0.04939648514175663,-0.04939648514175663,0.0,0,False,0.0,2.108331766832661,-0.04332438873958244,0.0,0.0,0.0,0.2,0.8,0.0
