date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_ivv.us,w_lqd.us,w_shy.us,w_tlt.us,w_xlk.us
2019-12-01,0.04177907631637286,0.04177907631637286,0.0,0,False,0.0,2.439091200089683,-0.0011170239173364793,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
2020-01-01,0.008504656869030063,0.007393545757918951,0.2777777777777778,5,True,0.0011111111111111111,2.4163578878114365,-0.04149515158168704,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.1,0.0,0.0,0.16666666666666666,0.4
2020-02-01,-0.003668192334439827,-0.0047793034455509385,0.2777777777777778,5,True,0.0011111111111111111,2.4263925905298356,-0.0375146521463432,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
2020-03-01,-0.0826092075463889,-0.08305365199083334,0.11111111111111112,2,True,0.00044444444444444447,2.346462200053767,-0.06922091022745547,0.0,0.0,0.11111111111111112,0.0,0.16666666666666666,0.1,0.11111111111111112,0.0,0.11111111111111112,0.4
2020-04-01,0.0853237311941273,0.08465706452746063,0.16666666666666669,4,True,0.0006666666666666668,2.1502316518537468,-0.14706034486015362,0.0,0.0,0.05555555555555556,0.0,0.3333333333333333,0.1,0.05555555555555556,0.0,0.05555555555555556,0.4
2020-05-01,0.05060085008647151,0.05060085008647151,0.0,0,False,0.0,2.3336974393216208,-0.07428435100018949,0.0,0.0,0.05555555555555556,0.0,0.3333333333333333,0.1,0.05555555555555556,0.0,0.05555555555555556,0.4
2020-06-01,0.03307972719827313,0.03307972719827313,0.0,0,False,0.0,2.4517845135959164,-0.027442352222449395,0.0,0.0,0.05555555555555556,0.0,0.3333333333333333,0.1,0.05555555555555556,0.0,0.05555555555555556,0.4
2020-07-01,0.060992277275837975,0.060325610609171305,0.16666666666666669,4,True,0.0006666666666666668,2.5312002838703176,-0.0014904456562251367,0.0,0.0,0.11111111111111112,0.0,0.16666666666666666,0.1,0.11111111111111112,0.0,0.11111111111111112,0.4
2020-08-01,0.044789346783039266,0.044789346783039266,0.0,0,False,0.0,2.6600986092709284,0.0,0.0,0.0,0.11111111111111112,0.0,0.16666666666666666,0.1,0.11111111111111112,0.0,0.11111111111111112,0.4
2020-09-01,-0.04180665186936872,-0.042917762980479834,0.27777777777777773,5,True,0.001111111111111111,2.7761546409271363,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1,0.0,0.0,0.16666666666666666,0.4
2020-10-01,-0.026254520782694385,-0.026254520782694385,0.0,0,False,0.0,2.660092910318361,-0.04561658940272928,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1,0.0,0.0,0.16666666666666666,0.4
2020-11-01,0.06370534008426398,0.06259422897315288,0.27777777777777773,5,True,0.001111111111111111,2.5789208284022656,-0.07473936480800358,0.0,0.11111111111111112,0.11111111111111112,0.0,0.16666666666666666,0.1,0.11111111111111112,0.0,0.0,0.4
2020-12-01,0.02066194129953866,0.01955083018842755,0.27777777777777773,5,True,0.001111111111111111,2.737119217158826,-0.017981227817063128,0.0,0.16666666666666666,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.16666666666666666,0.4
2021-01-01,0.00763351259614233,0.006966845929475663,0.16666666666666666,2,True,0.0006666666666666666,2.736220236516806,-0.024711559461021215,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1,0.0,0.0,0.16666666666666666,0.4
2021-02-01,0.010852230886179069,0.009741119775067957,0.27777777777777773,5,True,0.001111111111111111,2.752207726534098,-0.019013036367373504,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.1,0.0,0.16666666666666666,0.0,0.4
2021-03-01,0.005657258683475519,0.004323925350142185,0.33333333333333337,4,True,0.0013333333333333335,2.7783658864688663,-0.01716891599584236,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4
2021-04-01,0.015984860507175867,0.015984860507175867,0.0,0,False,0.0,2.7940838210059646,-0.01160878631147011,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4
2021-05-01,-0.0010026280563580374,-0.0016692947230247041,0.16666666666666669,4,True,0.0006666666666666668,2.8412830860110105,-0.010639946340520345,0.0,0.05555555555555556,0.0,0.05555555555555556,0.0,0.1,0.05555555555555556,0.3333333333333333,0.0,0.4
2021-06-01,0.027595922109279,0.02670703322039011,0.2222222222222222,5,True,0.0008888888888888889,2.8340206756078343,-0.013168782267344858,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.1,0.0,0.16666666666666666,0.0,0.4
