date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_rsp.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2014-10-01,0.05542426017573632,0.053424260175736316,0.5,2,True,0.002,1.7023448032012063,-0.050556004241846586,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2014-11-01,0.037829175622858924,0.037829175622858924,0.0,0,False,0.0,1.7922361538640943,-0.00042115318407165425,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2014-12-01,-0.006890271946036197,-0.006890271946036197,0.0,0,False,0.0,1.8600349700862568,-0.004486166604510622,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-01-01,0.010002542231944744,0.010002542231944744,0.0,0,False,0.0,1.7942977684291477,-0.04411660310281984,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-02-01,0.03870735551307403,0.03870735551307403,0.0,0,False,0.0,1.7965586020814563,-0.04291218018628229,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-03-01,-0.016278357877483274,-0.016278357877483274,0.0,0,False,0.0,1.8560856170602336,-0.011200116399412652,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-04-01,0.006426815980494216,0.006426815980494216,0.0,0,False,0.0,1.8258715911344778,-0.027296154773876813,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-05-01,0.0174183422329679,0.0174183422329679,0.0,0,False,0.0,1.8376061318547108,-0.02104476615708961,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-06-01,-0.001500264875344548,-0.001500264875344548,0.0,0,False,0.0,1.869614184348757,-0.006191110869853245,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-07-01,0.03144245949746827,0.03144245949746827,0.0,0,False,0.0,1.866809267857533,-0.013853823772973506,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-08-01,-0.09161867522454964,-0.09161867522454964,0.0,0,False,0.0,1.9248832265303175,-0.002581671006551267,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2015-09-01,0.0,-0.004,1.0,3,True,0.004,1.7415338634522388,-0.10265366587047842,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0,False,0.0,1.7415338634522388,-0.10265366587047842,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.004661553973582699,0.0006615539735826993,1.0,3,True,0.004,1.7415338634522388,-0.10265366587047842,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2015-12-01,-0.03516834522151835,-0.03516834522151835,0.0,0,False,0.0,1.742653509083329,-0.10207675495093349,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2016-01-01,0.01084794879729789,0.0068479487972978904,1.0,4,True,0.004,1.713297318603401,-0.11720288626769826,0.5,0.0,0.0,0.0,0.0,0.5,0.0
2016-02-01,0.004677187207235534,0.004677187207235534,0.0,0,False,0.0,1.724955547869398,-0.11119584298600971,0.5,0.0,0.0,0.0,0.0,0.5,0.0
2016-03-01,0.0,-0.002,0.5,2,True,0.002,1.729557440915161,-0.1088246620739799,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,-0.00025407347311950934,-0.004254073473119509,1.0,3,True,0.004,1.7226392111515003,-0.11238936342568395,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2016-05-01,-0.0014544779296498667,-0.0014544779296498667,0.0,0,False,0.0,1.708367744438671,-0.11974290882963201,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2016-06-01,0.02373547437825141,0.02373547437825141,0.0,0,False,0.0,1.7058829612586597,-0.12102322334115678,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2016-07-01,0.0148526258669473,0.0148526258669473,0.0,0,False,0.0,1.7463729025779107,-0.10016029257969261,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2016-08-01,0.0023407172303233637,0.0023407172303233637,0.0,0,False,0.0,1.7723111259240747,-0.08679531006515573,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2016-09-01,-0.010129765808620184,-0.010129765808620184,0.0,0,False,0.0,1.7764596051140196,-0.08465775611261273,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2016-10-01,-0.02829804100222466,-0.030298041002224663,0.5,2,True,0.002,1.763250024943321,-0.09146415166444499,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2016-11-01,0.09734253104729851,0.09734253104729851,0.0,0,False,0.0,1.7099267964334202,-0.11893958847993036,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2016-12-01,0.028847458450279806,0.026847458450279804,0.5,2,True,0.002,1.8726226479064412,-0.035108588140958075,0.0,0.0,0.5,0.5,0.0,0.0,0.0
