date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_vt.us,w_xlk.us
2016-05-01,0.033209328265902505,0.033209328265902505,0.0,0,False,0.0,1.816503053948611,-0.092330077006884,0.0,0.0,0.0,0.2,0.0,0.8
2016-06-01,-0.006531497012303511,-0.006531497012303511,0.0,0,False,0.0,1.876827900163205,-0.06218696857711903,0.0,0.0,0.0,0.2,0.0,0.8
2016-07-01,0.06312333383453789,0.06312333383453789,0.0,0,False,0.0,1.864569404340681,-0.068312291589957,0.0,0.0,0.0,0.2,0.0,0.8
2016-08-01,0.010830758456537871,0.010830758456537871,0.0,0,False,0.0,1.9822672413085427,-0.009501057342454544,0.0,0.0,0.0,0.2,0.0,0.8
2016-09-01,0.011227282054282273,0.011227282054282273,0.0,0,False,0.0,2.003736698995464,-0.004905217116879301,0.0,0.0,0.0,0.2,0.0,0.8
2016-10-01,-0.014863859533329539,-0.014863859533329539,0.0,0,False,0.0,2.032202636497553,-0.0029011699375810496,0.0,0.0,0.0,0.2,0.0,0.8
2016-11-01,-0.00037654523167853643,-0.00037654523167853643,0.0,0,False,0.0,2.0019962619653917,-0.020357711871480055,0.0,0.0,0.0,0.2,0.0,0.8
2016-12-01,0.049274907222104904,0.049274907222104904,0.0,0,False,0.0,2.0012424198191106,-0.027055510196705823,0.0,0.0,0.0,0.2,0.0,0.8
2017-01-01,0.029514387743200345,0.029514387743200345,0.0,0,False,0.0,2.0528741807782547,-0.029315821907164197,0.0,0.0,0.0,0.2,0.0,0.8
2017-02-01,0.052317809331934355,0.052317809331934355,0.0,0,False,0.0,2.113463505337749,-0.005590989821678383,0.0,0.0,0.0,0.2,0.0,0.8
2017-03-01,0.0029060376893529803,0.0029060376893529803,0.0,0,False,0.0,2.224035286040012,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2017-04-01,0.0258411646497672,0.0258411646497672,0.0,0,False,0.0,2.2329558865836665,-0.0020264353392958068,0.0,0.0,0.0,0.2,0.0,0.8
2017-05-01,0.031351127943209316,0.031351127943209316,0.0,0,False,0.0,2.2906580673045407,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2017-06-01,-0.02974087441104838,-0.02974087441104838,0.0,0,False,0.0,2.362472781446751,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2017-07-01,0.05000557937538211,0.05000557937538211,0.0,0,False,0.0,2.3041243477138096,-0.03548755606083498,0.0,0.0,0.0,0.2,0.0,0.8
2017-08-01,0.01899460366461798,0.01899460366461798,0.0,0,False,0.0,2.419343420674164,-0.003867621784521935,0.0,0.0,0.0,0.2,0.0,0.8
2017-09-01,0.012978254282215974,0.012978254282215974,0.0,0,False,0.0,2.4652978900784706,-0.0003291618710010713,0.0,0.0,0.0,0.2,0.0,0.8
2017-10-01,0.05513879181413862,0.05513879181413862,0.0,0,False,0.0,2.492335541467219,0.0,0.0,0.0,0.0,0.2,0.0,0.8
